"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-12",,,"0.71",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-13",,,"0.87",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-15",,,"0.03",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-16",,,"0.17",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-25",,,"0.04",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-28",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-29",,,"0.21",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-30",,,"0.78",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-08-31",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-01",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-06",,,"0.15",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-07",,,"0.65",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-10",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-11",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-18",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-19",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-20",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-21",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-22",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-28",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-09-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-01",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-02",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-04",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-05",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-06",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-07",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-09",,,"0.59",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-10",,,"0.10",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-12",,,"0.17",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-13",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-14",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-17",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-18",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-19",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-20",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-22",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-23",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-24",,,"0.15",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-25",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-10-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-11-03",,,"0.00",,,,,,,,,
